Field Name,Field Path,Lucene Path,CV DOMAIN,Display Name,Lucene  Status,,Description,FinalField,Status,Data Type,Data to include,,,,,,,,,,,,,
Refuuid,/polymer/classification/parentSubstance/refuuid,root_polymer_classification_parentSubstance_refuuid,,Polymer Parent Substance Refuuid,,,The UUID of the related record.,refuuid,Current,string,,,,,,,,,,,,,,
Substance Class,/polymer/classification/parentSubstance/substanceClass,root_polymer_classification_parentSubstance_substanceClass,,Polymer Parent Substance Substance Class,,,"This value wall always be ""reference"" if it is intended as a real reference and ""mention"" if it is a place-holder. However, it can also specify a full substance class, in which case the whole record reference object is meant to be a full entire record rather than a reference.",substanceClass,Current,string,,,,,,,,,,,,,,
Uuid,/polymer/classification/parentSubstance/uuid,root_polymer_classification_parentSubstance_uuid,,Polymer Parent Substance UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Polymer Geometry,/polymer/classification/polymerGeometry,root_polymer_classification_polymerGeometry,POLYMER_GEOMETRY,Polymer Geometry,,,"A general classification of the polymer geometry (e.g. ""linear"", ""branch"", ""network"").",polymerGeometry,Current,string,,,,,,,,,,,,,,
Polymer Subclass,/polymer/classification/polymerSubclass,root_polymer_classification_polymerSubclass_term,POLYMER_SUBCLASS,Polymer Classification Polymer Subclass,UPDATE LUCENE PATH & FIX BACKEND,,"The set of subclasses describing the polymer (e.g. ""cross-link"", ""graft"").",polymerSubclass,Current,array <string>,,,,,,,,,,,,,,
References,/polymer/classification/references,,,Polymer Classification References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Sourcetype,/polymer/classification/sourceType,root_polymer_classification_sourceType,POLYMER_SOURCE_TYPE,Polymer Classification Source Type,,,"The type of material used as the source for the polymer. If from a biological or natural source, further reference to the source material will be needed.",sourceType,Current,string,,,,,,,,,,,,,,
Uuid,/polymer/classification/uuid,root_polymer_classification_uuid,,Display Structure UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Created,/polymer/created,root_polymer_created,,Polymer Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/polymer/createdBy,root_polymer_createdBy,,Polymer Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/polymer/deprecated,root_polymer_deprecated,,Polymer Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Display Structure,/polymer/displayStructure,,,Polymer Display Structure,REMOVE LUCENE PATH,,"A form of the structure which is meant for displaying a simplified form of the polymer. This display structure is not meant to be trusted as canonical for the polymer definition, but is meant to be useful for communicating a ""conceptual"" diagram of the polymer.",displayStructure,Current,object <PolymerStructure>,,,,,,,,,,,,,,
Access,/polymer/displayStructure/access,root_polymer_displayStructure_access,ACCESS_GROUP,Display Structure Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Charge,/polymer/displayStructure/charge,root_polymer_displayStructure_charge,,Display Structure Charge,,,The net charge of the structure.,charge,Current,number,,,,,,,,,,,,,,
Count,/polymer/displayStructure/count,root_polymer_displayStructure_count,,Display Structure Count,,,The exact number of times that the structure is repeated.,count,Current,number,,,,,,,,,,,,,,
Created,/polymer/displayStructure/created,root_polymer_displayStructure_created,,Display Structure Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/polymer/displayStructure/createdBy,root_polymer_displayStructure_createdBy,,Display Structure Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Defined Stereocenters Count,/polymer/displayStructure/definedStereo,root_polymer_displayStructure_definedStereo,,Display Structure Defined Stereo,,,A count of defined stereocenters.,definedStereo,Current,number,,,,,,,,,,,,,,
Deprecated,/polymer/displayStructure/deprecated,root_polymer_displayStructure_deprecated,,Display Structure Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Digest,/polymer/displayStructure/digest,root_polymer_displayStructure_digest,,Display Structure Digest,,,A hash of the raw structural information encoded.,digest,Current,string,,,,,,,,,,,,,,
E/Z Center Count,/polymer/displayStructure/ezCenters,root_polymer_displayStructure_ezCenters,,Display Structure Ez Centers,,,"A count of E/Z, or absolute double bond stereochemistry centers.",ezCenters,Current,number,,,,,,,,,,,,,,
Formula,/polymer/displayStructure/formula,root_polymer_displayStructure_formula,,Display Structure Formula,,,The chemical formula of the record.,formula,Current,string,,,,,,,,,,,,,,
Id,/polymer/displayStructure/id,root_polymer_displayStructure_id,,Display Structure ID,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,The identifier of the structural element itself (this is still a UUID).,id,Deprecated,string,,,,,,,,,,,,,,
Last Edited,/polymer/displayStructure/lastEdited,root_polymer_displayStructure_lastEdited,,Display Structure Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/polymer/displayStructure/lastEditedBy,root_polymer_displayStructure_lastEditedBy,,Display Structure Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Molfile,/polymer/displayStructure/molfile,,,Display Structure Molfile,REMOVE LUCENE PATH,,The chemical structure in MDL Molfile format (V2000).,molfile,Current,string,,,,,,,,,,,,,,
Molecular Weight,/polymer/displayStructure/mwt,root_polymer_displayStructure_mwt,,Display Structure Mwt,,,The molecular weight of the structure.,mwt,Current,number,,,,,,,,,,,,,,
Optical Activity,/polymer/displayStructure/opticalActivity,root_polymer_displayStructure_opticalActivity,OPTICAL_ACTIVITY,Display Structure Optical Activity,,,"The optical activity or rotation of the material. ""(+)"" and ""(-)"" are used for optically active materials where activity is known and significantly useful for definition. ""(+/-)"" is used for racemic mixtures.",opticalActivity,Current,string,,,,,,,,,,,,,,
References,/polymer/displayStructure/references,,,Display Structure References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Smiles,/polymer/displayStructure/smiles,,,Display Structure Smiles,REMOVE LUCENE PATH,,The chemical structure in SMILES format.,smiles,Current,string,,,,,,,,,,,,,,
Total Stereocenters Count,/polymer/displayStructure/stereoCenters,root_polymer_displayStructure_stereoCenters,,Display Structure Stereo Centers,,,A count of possible stereocenters.,stereoCenters,Current,number,,,,,,,,,,,,,,
Stereochemistry,/polymer/displayStructure/stereochemistry,root_polymer_displayStructure_stereochemistry,,Display Structure Stereochemistry,,,"The structure's type of stereochemistry (absolute, achiral, racemic, etc.).",stereochemistry,Current,string,,,,,,,,,,,,,,
Idealized Structure,/polymer/idealizedStructure,,,Polymer Idealized Structure,REMOVE LUCENE PATH,,"A form of the structure which is meant for communicating a more accurate, but sometimes less intuitive view of the polymeric structure. This form of the polymer definition is also not meant to be an exhaustive cannonical form, but is meant to be the most compatible aranagement possible for unerstanding the structural units.",idealizedStructure,Current,object <PolymerStructure>,,,,,,,,,,,,,,
Access,/polymer/idealizedStructure/access,root_polymer_idealizedStructure_access,ACCESS_GROUP,Idealized Structure Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Charge,/polymer/idealizedStructure/charge,root_polymer_idealizedStructure_charge,,Idealized Structure Charge,,,The net charge of the structure.,charge,Current,number,,,,,,,,,,,,,,
Count,/polymer/idealizedStructure/count,root_polymer_idealizedStructure_count,,Idealized Structure Count,,,The exact number of times that the structure is repeated.,count,Current,number,,,,,,,,,,,,,,
Created,/polymer/idealizedStructure/created,root_polymer_idealizedStructure_created,,Idealized Structure Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/polymer/idealizedStructure/createdBy,root_polymer_idealizedStructure_createdBy,,Idealized Structure Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Defined Stereocenters Count,/polymer/idealizedStructure/definedStereo,root_polymer_idealizedStructure_definedStereo,,Idealized Structure Defined Stereo,,,A count of defined stereocenters.,definedStereo,Current,number,,,,,,,,,,,,,,
Deprecated,/polymer/idealizedStructure/deprecated,root_polymer_idealizedStructure_deprecated,,Idealized Structure Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Digest,/polymer/idealizedStructure/digest,root_polymer_idealizedStructure_digest,,Idealized Structure Digest,,,A hash of the raw structural information encoded.,digest,Current,string,,,,,,,,,,,,,,
E/Z Center Count,/polymer/idealizedStructure/ezCenters,root_polymer_idealizedStructure_ezCenters,,Idealized Structure Ez Centers,,,"A count of E/Z, or absolute double bond stereochemistry centers.",ezCenters,Current,number,,,,,,,,,,,,,,
Formula,/polymer/idealizedStructure/formula,root_polymer_idealizedStructure_formula,,Idealized Structure Formula,,,The chemical formula of the record.,formula,Current,string,,,,,,,,,,,,,,
Id,/polymer/idealizedStructure/id,root_polymer_idealizedStructure_id,,Idealized Structure ID,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,The identifier of the structural element itself (this is still a UUID).,id,Deprecated,string,,,,,,,,,,,,,,
Last Edited,/polymer/idealizedStructure/lastEdited,root_polymer_idealizedStructure_lastEdited,,Idealized Structure Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/polymer/idealizedStructure/lastEditedBy,root_polymer_idealizedStructure_lastEditedBy,,Idealized Structure Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Molfile,/polymer/idealizedStructure/molfile,,,Idealized Structure Molfile,REMOVE LUCENE PATH,,The chemical structure in MDL Molfile format (V2000).,molfile,Current,string,,,,,,,,,,,,,,
Molecular Weight,/polymer/idealizedStructure/mwt,root_polymer_idealizedStructure_mwt,,Idealized Structure Mwt,,,The molecular weight of the structure.,mwt,Current,number,,,,,,,,,,,,,,
Optical Activity,/polymer/idealizedStructure/opticalActivity,root_polymer_idealizedStructure_opticalActivity,OPTICAL_ACTIVITY,Idealized Structure Optical Activity,,,"The optical activity or rotation of the material. ""(+)"" and ""(-)"" are used for optically active materials where activity is known and significantly useful for definition. ""(+/-)"" is used for racemic mixtures.",opticalActivity,Current,string,,,,,,,,,,,,,,
References,/polymer/idealizedStructure/references,,,Idealized Structure References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Smiles,/polymer/idealizedStructure/smiles,,,Idealized Structure Smiles,REMOVE LUCENE PATH,,The chemical structure in SMILES format.,smiles,Current,string,,,,,,,,,,,,,,
Total Stereocenters Count,/polymer/idealizedStructure/stereoCenters,root_polymer_idealizedStructure_stereoCenters,,Idealized Structure Stereo Centers,,,A count of possible stereocenters.,stereoCenters,Current,number,,,,,,,,,,,,,,
Stereochemistry,/polymer/idealizedStructure/stereochemistry,root_polymer_idealizedStructure_stereochemistry,,Idealized Structure Stereochemistry,,,"The structure's type of stereochemistry (absolute, achiral, racemic, etc.).",stereochemistry,Current,string,,,,,,,,,,,,,,
Last Edited,/polymer/lastEdited,root_polymer_lastEdited,,Polymer Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/polymer/lastEditedBy,root_polymer_lastEditedBy,,Polymer Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Access,/polymer/monomers/?/access,root_polymer_monomers_access,ACCESS_GROUP,Monomer Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Amount,/polymer/monomers/?/amount,,,Monomer Amount,REMOVE LUCENE PATH,,"The amount of the monomer / starting material which was used, often as a ratio to other monomers and starting materials.",amount,Current,object <Amount>,,,,,,,,,,,,,,
Access,/polymer/monomers/?/amount/access,root_polymer_monomers_amount_access,ACCESS_GROUP,Monomer Amount Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Average,/polymer/monomers/?/amount/average,root_polymer_monomers_amount_average,,Monomer Amount Average,,,The amount's numeric average if present.,average,Current,number,,,,,,,,,,,,,,
Created,/polymer/monomers/?/amount/created,root_polymer_monomers_amount_created,,Monomer Amount Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/polymer/monomers/?/amount/createdBy,root_polymer_monomers_amount_createdBy,,Monomer Amount Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/polymer/monomers/?/amount/deprecated,root_polymer_monomers_amount_deprecated,,Monomer Amount Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
High,/polymer/monomers/?/amount/high,root_polymer_monomers_amount_high,,Monomer Amount High,,,The highest numerical value likely for the average amount. (highest average).,high,Current,number,,,,,,,,,,,,,,
High Limit,/polymer/monomers/?/amount/highLimit,root_polymer_monomers_amount_highLimit,,Monomer Amount High Limit,,,The highest allowable numeric value usable for the amount. (highest limit).,highLimit,Current,number,,,,,,,,,,,,,,
Last Edited,/polymer/monomers/?/amount/lastEdited,root_polymer_monomers_amount_lastEdited,,Monomer Amount Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/polymer/monomers/?/amount/lastEditedBy,root_polymer_monomers_amount_lastEditedBy,,Monomer Amount Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Low,/polymer/monomers/?/amount/low,root_polymer_monomers_amount_low,,Monomer Amount Low,,,The lowest numerical value likely for the average amount. (lowest average).,low,Current,number,,,,,,,,,,,,,,
Low Limit,/polymer/monomers/?/amount/lowLimit,root_polymer_monomers_amount_lowLimit,,Monomer Amount Low Limit,,,The lowest allowable numeric value usable for the amount. (lowest limit).,lowLimit,Current,number,,,,,,,,,,,,,,
Non Numeric Value,/polymer/monomers/?/amount/nonNumericValue,root_polymer_monomers_amount_nonNumericValue,,Monomer Amount Non-Numeric Value,,,"A textual description of a value which can not be quantified numerically. For example, ""solubility"" may be described quantitatively or it may be described with certain textual categories. Non-numeric values are meant to specify qualitative values and other values not easily described by numbers or ranges of numbers.",nonNumericValue,Current,string,,,,,,,,,,,,,,
References,/polymer/monomers/?/amount/references,,,Monomer Amount References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Type,/polymer/monomers/?/amount/type,root_polymer_monomers_amount_type,AMOUNT_TYPE,Monomer Amount Type,,,"The type of the amount specified ('mol ratio'. 'degree of polymerization', 'weight ratio', etc.).",type,Current,string,,,,,,,,,,,,,,
Units,/polymer/monomers/?/amount/units,root_polymer_monomers_amount_units,AMOUNT_UNIT,Monomer Amount Units,,,The amount's unit of measurement.,units,Current,string,,,,,,,,,,,,,,
Uuid,/polymer/monomers/?/amount/uuid,root_polymer_monomers_amount_uuid,,Monomer Amount UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Created,/polymer/monomers/?/created,root_polymer_monomers_created,,Monomer Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/polymer/monomers/?/createdBy,root_polymer_monomers_createdBy,,Monomer Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Defining,/polymer/monomers/?/defining,root_polymer_monomers_defining,,Monomer Defining,,,A flag for whether or not the monomer / starting material is considered canonically defining for the polymer.,defining,Current,boolean,,,,,,,,,,,,,,
Deprecated,/polymer/monomers/?/deprecated,root_polymer_monomers_deprecated,,Monomer Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/polymer/monomers/?/lastEdited,root_polymer_monomers_lastEdited,,Monomer Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/polymer/monomers/?/lastEditedBy,root_polymer_monomers_lastEditedBy,,Monomer Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Access,/polymer/monomers/?/monomerSubstance/access,root_polymer_monomers_monomerSubstance_access,ACCESS_GROUP,Monomer Substance Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Approval ID (UNII),/polymer/monomers/?/monomerSubstance/approvalID,root_polymer_monomers_monomerSubstance_approvalID,,Monomer Approval ID,,,"The Unique Ingredient Identifier (UNII, aka ""Approval ID"") is a unique ID generated for each substance record.",approvalID,Current,string,,,,,,,,,,,,,,
Created,/polymer/monomers/?/monomerSubstance/created,root_polymer_monomers_monomerSubstance_created,,Monomer Substance Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/polymer/monomers/?/monomerSubstance/createdBy,root_polymer_monomers_monomerSubstance_createdBy,,Monomer Substance Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/polymer/monomers/?/monomerSubstance/deprecated,root_polymer_monomers_monomerSubstance_deprecated,,Monomer Substance Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/polymer/monomers/?/monomerSubstance/lastEdited,root_polymer_monomers_monomerSubstance_lastEdited,,Monomer Substance Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/polymer/monomers/?/monomerSubstance/lastEditedBy,root_polymer_monomers_monomerSubstance_lastEditedBy,,Monomer Substance Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Linking Id,/polymer/monomers/?/monomerSubstance/linkingID,root_polymer_monomers_monomerSubstance_linkingID,,Monomer Substance Linking ID,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,"The approvalID of the record if it exists, otherwise some compact and exchangable ID useful for linking to the referenced record (often the first 8 chars of its uuid).",linkingID,Deprecated,string,,,,,,,,,,,,,,
Name,/polymer/monomers/?/monomerSubstance/name,root_polymer_monomers_monomerSubstance_name,,Monomer Substance Original Name,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,The literal string text of a name.,name,Deprecated,string,,,,,,,,,,,,,,
References,/polymer/monomers/?/monomerSubstance/references,,,Monomer Substance References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Ref Pname,/polymer/monomers/?/monomerSubstance/refPname,root_polymer_monomers_monomerSubstance_refPname,,Monomer Substance Name,,,"The ""Priority Name"" (usually the display name) of the record being referenced.",refPname,Current,string,,,,,,,,,,,,,,
Refuuid,/polymer/monomers/?/monomerSubstance/refuuid,root_polymer_monomers_monomerSubstance_refuuid,,Monomer Substance Refuuid,,,The UUID of the related record.,refuuid,Current,string,,,,,,,,,,,,,,
Substance Class,/polymer/monomers/?/monomerSubstance/substanceClass,root_polymer_monomers_monomerSubstance_substanceClass,,Monomer Substance Substance Class,,,"This value wall always be ""reference"" if it is intended as a real reference and ""mention"" if it is a place-holder. However, it can also specify a full substance class, in which case the whole record reference object is meant to be a full entire record rather than a reference.",substanceClass,Current,string,,,,,,,,,,,,,,
Uuid,/polymer/monomers/?/monomerSubstance/uuid,root_polymer_monomers_monomerSubstance_uuid,,Monomer Substance UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
References,/polymer/monomers/?/references,,,Monomer References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Type,/polymer/monomers/?/type,root_polymer_monomers_type,MONOMER_TYPE,Monomer Type,,,"The chemical's type or role in polymerization ('initiator', 'monomer', 'starting material', etc.).",type,Current,string,,,,,,,,,,,,,,
Uuid,/polymer/monomers/?/uuid,root_polymer_monomers_uuid,,Monomer UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
References,/polymer/references,,,Polymer References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Structural Units,/polymer/structuralUnits,,,SRU Structuralunits,REMOVE LUCENE PATH,,"A list of SRUs (Structural Repeating Units) as well as non-repeating structural units which comprise the polymer. Each unit present has a chemical structure, a label, an extent/amount, a type and information about how the unit can connect to other units and/or itself. This can be seen as the set of ""pieces"" which can be combined together to make the polymer in question.",structuralUnits,Current,array <StructuralUnit>,,,,,,,,,,,,,,
Access,/polymer/structuralUnits/?/access,root_polymer_structuralUnits_access,ACCESS_GROUP,SRU Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Access,/polymer/structuralUnits/?/amount/access,root_polymer_structuralUnits_amount_access,ACCESS_GROUP,SRU Amount Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Average,/polymer/structuralUnits/?/amount/average,root_polymer_structuralUnits_amount_average,,SRU Amount Average,,,The amount's numeric average if present.,average,Current,number,,,,,,,,,,,,,,
Created,/polymer/structuralUnits/?/amount/created,root_polymer_structuralUnits_amount_created,,SRU Amount Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/polymer/structuralUnits/?/amount/createdBy,root_polymer_structuralUnits_amount_createdBy,,SRU Amount Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/polymer/structuralUnits/?/amount/deprecated,root_polymer_structuralUnits_amount_deprecated,,SRU Amount Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
High,/polymer/structuralUnits/?/amount/high,root_polymer_structuralUnits_amount_high,,SRU Amount High,,,The highest numerical value likely for the average amount. (highest average).,high,Current,number,,,,,,,,,,,,,,
High Limit,/polymer/structuralUnits/?/amount/highLimit,root_polymer_structuralUnits_amount_highLimit,,SRU Amount High Limit,,,The highest allowable numeric value usable for the amount. (highest limit).,highLimit,Current,number,,,,,,,,,,,,,,
Last Edited,/polymer/structuralUnits/?/amount/lastEdited,root_polymer_structuralUnits_amount_lastEdited,,SRU Amount Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/polymer/structuralUnits/?/amount/lastEditedBy,root_polymer_structuralUnits_amount_lastEditedBy,,SRU Amount Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Low,/polymer/structuralUnits/?/amount/low,root_polymer_structuralUnits_amount_low,,SRU Amount Low,,,The lowest numerical value likely for the average amount. (lowest average).,low,Current,number,,,,,,,,,,,,,,
Low Limit,/polymer/structuralUnits/?/amount/lowLimit,root_polymer_structuralUnits_amount_lowLimit,,SRU Amount Low Limit,,,The lowest allowable numeric value usable for the amount. (lowest limit).,lowLimit,Current,number,,,,,,,,,,,,,,
Non Numeric Value,/polymer/structuralUnits/?/amount/nonNumericValue,root_polymer_structuralUnits_amount_nonNumericValue,,SRU Amount Non-Numeric Value,,,"A textual description of a value which can not be quantified numerically. For example, ""solubility"" may be described quantitatively or it may be described with certain textual categories. Non-numeric values are meant to specify qualitative values and other values not easily described by numbers or ranges of numbers.",nonNumericValue,Current,string,,,,,,,,,,,,,,
References,/polymer/structuralUnits/?/amount/references,,,SRU Amount References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Type,/polymer/structuralUnits/?/amount/type,root_polymer_structuralUnits_amount_type,AMOUNT_TYPE,SRU Amount Type,,,"The type of the amount specified ('mol ratio'. 'degree of polymerization', 'weight ratio', etc.)",type,Current,string,,,,,,,,,,,,,,
Units,/polymer/structuralUnits/?/amount/units,root_polymer_structuralUnits_amount_units,AMOUNT_UNIT,SRU Amount Units,,,The amount's unit of measurement.,units,Current,string,,,,,,,,,,,,,,
Uuid,/polymer/structuralUnits/?/amount/uuid,root_polymer_structuralUnits_amount_uuid,,SRU Amount UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Attachment Count,/polymer/structuralUnits/?/attachmentCount,root_polymer_structuralUnits_attachmentCount,,SRU Attachment Count,,,A count of the attachment points allowed for the given structural unit,attachmentCount,Current,number,,,,,,,,,,,,,,
Attachment Map,/polymer/structuralUnits/?/attchmentMap,,,SRU Amount Attachment Map,REMOVE LUCENE PATH,,A map detailing the allowed connections between each connection point in the structural unit (specified by using R-Group aliases) and the set of allowed other connection points where they can connect,attachmentMap,Current,object <Map>,,,,,,,,,,,,,,
Created,/polymer/structuralUnits/?/created,root_polymer_structuralUnits_created,,SRU Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/polymer/structuralUnits/?/createdBy,root_polymer_structuralUnits_createdBy,,SRU Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/polymer/structuralUnits/?/deprecated,root_polymer_structuralUnits_deprecated,,SRU Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
